greeting,now,fire1,notice1,noticeLaw,notice2,infoOpen1,infoOpenLaw,infoOpen2,infoOpen3,fixLaw,macro1,macro2,macro3,ending
귀 부처의 무탈한 운영을 기원합니다.,대상 게임은 모든 유통사에서 15세 등급물로 분류되어 있으나 귀 위원회의 재심사 처분으로 청소년 이용 불가 게임으로 조정을 받았습니다.,"위 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 성 윤리에 위배되는 컨텐츠라 보기 어렵습니다. 그러므로 게임물관리위원회 등급분류규정 8조 3번 15세 이용가에 해당되는 내용이라고 생각합니다.",그리고 게임물 관리 위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에 이렇게 적혀있습니다.,2. 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야한다.,"그렇지만 해당 기사를 보면 소녀전선측 게임사는 공고조차 받지 못했다는 것을 알 수 있습니다.
http://www.newscape.co.kr/news/articleView.html?idxno=89601
해당 사태가 일어나게 된 이유와 앞으로 유사한 사태가 일어나지 않도록 솔루션 제공을 요구합니다.",또한 위에 있는 규정에 의거하여 게임관리위원회의 정보공개를 청구합니다.,"제15조(회의록의 작성 등)
① 위원회의 모든 회의는 회의록을 상세히 작성하고 위원이 기명날인 또는 서명하여야 한다. 필요한 경우에는 회의를 녹취 또는 녹음할 수 있다.
② 회의록은 차기 회의에서 보고하며, 위원회 위원이 이의를 제기한 때에는 그 사유를 기재하여야 한다.
③ 위원회는 회의록 등 각종 기록을 전산처리하여 투명성, 공정성을 제고하여야 한다.
제16조(회의록의 공개) 
① 위원회의 회의록은 공개한다. 다만, 다음 각 호의 1에 해당하는 경우에는 위원회의 의결로써 공개하지 아니할 수 있다.
1. 다른 법률 또는 법률이 위임한 명령에 의하여 비밀로 분류되거나 공개가 제한된 사항
2. 법인, 단체 또는 개인의 명예 및 영업비밀의 보호 등 공개될 경우 정당한 이익을 해칠 특별한 사정이 인정되는 사항
3. 감사·감독·검사·규제·입찰계약·인사관리·의사결정과정 또는 내부검토과정에 있는 사항 등으로서 공개될 경우 공정한 업무수행에 현저한 지장을 초래한다고 인정할 만한 사유가 있는 사항
② 회의록의 열람 및 복사를 원하는 자는 열람 및 복사의 목적을 포함한 별지 제3호 서식의 신청서를 작성하여 제출하여야 한다.
③ 위원회는 접수일로부터 10일 이내에 회의록의 공개여부를 결정하여 지체 없이 신청인에게 서면으로 통보하여야 한다.
④ 기타 회의록 공개 및 정보공개와 관련하여 필요한 사항은 위원회 세칙으로 정한다.",이 게임 뿐만 아니라 다른 게임들도 동일하게 선정성을 이유로 등급 변경이 이루어졌습니다. 이에 관련된 회의록의 전체 공개 및 공지를 강력요청합니다.,만약 해당 회의록이 공개처리가 되지 못한다면 그 이유를 상세하게 적어 주시면 감사하겠습니다.,,마지막으로 매크로 답변이 오는것은 원치 않기때문에 한개의 질의에 응답해 주시기 바랍니다.,공무원 헌장 전문이 무엇입니까?,만약 이 질문에 대한 답변이 어려운경우 구체적인 사유를 적어 왜 답변하기 어려운지 알려주시면 감사하겠습니다.,이상 해당 민원에 대하여 긍정적인 검토를 해주셨으면 감사하겠습니다.
귀 부서의 공정한 활동을 기원합니다.,"모바일게임 (블루아카이브)는 구글 플레이스토어 등에서 15세 등급물로 분류되어 서비스되고 있습니다.
그러나 근래에 담당 부서로부터 청소년 이용불가 판정을 받았다고 합니다.","이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 선정적인 행위를 하도록 유도하거나 구체적이고 직접적으로 조작할 수 있는 일반적인 사회윤리에 어긋나는 컨텐츠에 비견되기는 어렵기에 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가라는 규제는 이해하기 힘듭니다.",그리고 게임물 관리 위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이러한 규정이 존재합니다.,① 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다. <개정 2022.9.22.>,"그러나 아래의 게시글을 보다시피,소녀전선의 담당자가 모든 할 수 있는 연락책으로 연락을 해보았지만 연락이 닿지 못했고 관련 내용의 파악 및 대처를 전혀 하지 못하였음을 보여줍니다.
https://www.inven.co.kr/webzine/news/?news=277535&site=girlsfrontline 
이런 결과가 나온 이유가 무엇인지, 또 앞으로 어떻게 해결해 나갈것인지에 대한 답변을 요청합니다.",아래에 쓰여있는 게임물 관리규정위원회 제15조 1항 및 3항에 따라 본 민원인은 정보공개를 요청합니다.,,다른 게임들도 선정성으로 등급상향이 되었는데 이것들의 심의 회의록도 같이 공개하는것을 강력하게 요구합니다.,행여나 회의록이 공개처리가 되지 않는다면 공개를 못하는 이유가 무엇인지 자세히 적어주시길 바랍니다.,"같은 맥락의 요구사항이 하나 더 있습니다.
게임물관리위원회 등급분류규정 제 40조(의견수렴)
'위원회는 게임법 시행규칙 제8조 제4항에 따라 등급분류기준 및 사행성 확인기준에 관한 위원회 규정의 적실성을 확보하기 위하여 매년 1회이상 이해관계인의 의견을 청취하여야 하며 이를 위원회 규정에 반영할 수 있다'
라고 규정되어 있습니다.
"블루아카이브"의 등급 상향으로 정상적인 게임 이용에 영향을 받는 게이머인 이해관계인으로 규정 33조'이의신청의 절차'의 수정을 요구하는 바입니다.
제 33조 (이의신청의 절차등)의 '게임법 제 23조 제1항에 따른 등급분류의결정 또는 거부결정에 대하여 이의가 있는 자'의 범위를 게임물 이용자도 포함될 수 있도록 내부규정의 수정을 강력하게 요구합니다.",이상으로 본문을 제대로 안 읽고 건성으로 답변 하는것을 방지하기 위하여 간단한 질문의 답을 해주시면 감사하겠습니다.,공직가치 중에서 제일 중요하다고 생각하시는 것은 무엇이라고 생각합니까?,만약 이 질의에 대한 답변이 곤란한경우 구체적인 이유를 적어 왜 답변하기 곤란한지 알려주시면 감사하겠습니다.,고생하는 시장이하 모든 공무원들에게 경의을 표하는 바입니다.
귀하 부처의 공정하고 적극적인 행정업무를 부탁드립니다.,"해당 게임은 현재 플레이스토어, 앱스토어, 원스토어에서는 15세 이상 이용가능 으로 등급분류 되어 있으나 귀 위원회의 권고 처분으로 인해 등급이 상향되었습니다.","위 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 직접적인 성행위, 유사성행위 및 이를 종용하는 내용이 포함되어있지 않습니다. 이는 명백히 게임물관리위원회 등급분류규정 8조 3번 15세 이용가에 해당되는 내용입니다.",그리고 게임물 관리 위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에 이렇게 쓰여있습니다.,1. 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다.,"하지만 이 기사를 참고해보면 소녀전선측의 공지사항에 보면 이메일과 유선전화등 할 수 있는 모든 방법으로 연락을 하였으나 연락받지 못했다는 글이 게시되었습니다.
http://www.enewstoday.co.kr/news/articleView.html?idxno=1606397 
이러한 일이 일어난 이유가 무엇이고 앞으로 이런 일이 일어나지 않도록 어떻게 해결 할 것인지에 대한 답변을 부탁드립니다.",또한 아래의 게임물관리위원회의 회의록 규정 제 15조(회의록의 작성등)에 따라 정보공개를 요청합니다.,"제15조(회의록의 작성 등)
① 위원회의 모든 회의는 회의록을 상세히 작성하고 위원이 기명날인 또는 서명하여야 한다. 필요한 경우에는 회의를 녹취 또는 녹음할 수 있다.
② 회의록은 차기 회의에서 보고하며, 위원회 위원이 이의를 제기한 때에는 그 사유를 기재하여야 한다.
③ 위원회는 회의록 등 각종 기록을 전산처리하여 투명성, 공정성을 제고하여야 한다.",또한 블루아카이브 같은 게임과 동일하게 선정성을 이유로 함께 등급상향이 된 게임들이 많습니다. 이 게임들에 관한 회의록 전체를 공개하여 공지하는것을 강력하게 요청합니다.,"만약 회의록을 비공개 또는 부분공개, 정보의 비존재 등으로 처리할 경우 그 이유를 상세히 적어 주시길 바랍니다.",,이만 글을 줄이기 전에 성의없는 답변을 피하기 위해 1개의 질문에 답해주시길 바라겠습니다.,공무원의 신조가 무엇입니까?,위의 대한 답변이 불가능 할 경우 왜 안되는 것인지에 대한 사유를 구체적으로 적어주시면 감사하겠습니다.,귀하의 노력에 감사를 표합니다.
블루아카이브의 민원처리&민원분류담당 공무원님 안녕하십니까.,"현재 귀 위원회는 플레이스토어(구글코리아 LLC. 운영), 앱스토어(애플코리아 LLC. 운영),원스토어(원스토어 LLC. 운영)플랫폼을 통해 넥슨게임즈社가 국내에서 서비스하는 "블루아카이브" 에 대해 22.9月 경 등급이 조정되었습니다.","위 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 게임상 내용과 포함된 이미지에서 직접적인 나체 표현, 도촬, 유사성행위 혹은 성행위 등의 선정적 연출과 이에 대한 직접적 묘사가 없고간접적이고 제한적으로(사람의 형상을 띈 존재들이 성적인 부위를 신체적 접촉을 하지 않음) 표현하고 있습니다.이것은 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가에 해당되지 않는 내용입니다.",그리고 게임물 관리 위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이런 규정이 있습니다.,② 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야 한다. <개정 2022.9.22.>,"허나 소녀전선이라는 게임의 공식카페에 이러한 글이 올라왔습니다.
https://cafe.naver.com/girlsfrontlinekr/4472675
게임관리위원회에게 등급재분류 상황에 대해 아무런 연락도 받지 못하였고 이메일,유선전화등 모든 연락수단을 이용해 연락을 해보았으나 게임관리위원회에게 연락이 닿지 못했다는 공지입니다.
어떤 행정처리가 되어 이러한 결과가 나왔는지,이에대한 해결책은 무엇인지 답변해시길 바랍니다.",아래와같이 규정된 게임물관리규정위원회의 15조 규정 1항과 3항에따라 민원인은 정보공개를 청구합니다.,,"이 게임 외 선정성을 이유로 등급상향이 된 다른게임들도 함께 2022년 1월 1일 ~ 민원을 작성하는 전일까지의 회의록을 공개할것을 강력하게 요구하는 바이며, 앞으로 더욱 신의에 부합하는 행정업무를 소망합니다.","혹시라도 희의록의 부분 공개나 정보의 부존재, 비공개등으로 처리될 경우 그 이유는 무엇인지 최대한 자세히 답변해주시면 감사하겠습니다.","그리고 게임물관리위원회는 등급분류 규정 40조에 따라 이해관계인의 의견을 청취하고 이를 위원회 규정에 반영하여야 한다고 알고 있습니다.
현재 "블루아카이브"의 등급 상향으로 인해 게임 이용에 영향을 받는 이해관계인으로서 규정 33조 (이의신청의 절차 등)의 수정을 요구합니다.
제 33조 (이의신청의 절차 등)의 '게임법 제23조 제1항에 따른 등급분류의결정 또는 거부결정에 대하여 이의가 있는 자 '에 게임물 이용자 또한 포함 될 수 있도록 내부규정의 수정을 강력히 요구합니다.
현재 게임물 관리위원회의 등급관리 방식은 오직 위원회와 게임사의 입장만을 대변할 뿐입니다.
이용자의 권리는 철저히 무시당하고 있으며 이에 대한 대책이 시급한 상황입니다.
대한민국 게임물의 발전과 이용자의 권익 증진을 위하여 이용자 또한 등급분류의 결정에 이의를 제기할 수 있도록 개정을 요구합니다.",끝으로 매크로 답변이 오는것을 방지하기 위해 한가지의 질문에 답변해주시기 바랍니다.,"공무원에게 봉사(공익, 국민, 국익, 청렴, 투명행정...)는 무슨 의미를 갖는다고 생각하십니까?",만약 이 질문에 대한 답변이 어려운경우 구체적인 사유를 적어 왜 답변하기 어려운지 알려주시면 감사하겠습니다.,민원 신청에 외국인 친구 게시물의 도움을 받았습니다. 적극 검토 부탁드립니다.
겨울로의 환절기간 건강에 안녕하십니까. 민원 처리에 항상 고생 많으십니다.,안드로이드 폰게임 블루아카이브는 이미 15세 이상 이용가능 등급분류를 받고 서비스되고 있으나 게임물등급관리위원회의 재심사에 의해 청소년 이용 불가 판정을 받았다는 것을 확인했습니다.,"이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 게임상 내용과 포함된 이미지에서 직접적인 나체 표현, 도촬, 유사성행위 혹은 성행위 등의 선정적 연출과 이에 대한 직접적 묘사가 없고간접적이고 제한적으로(사람의 형상을 띈 존재들이 성적인 부위를 신체적 접촉을 하지 않음) 표현하고 있습니다.이것은 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가에 해당되지 않는 내용입니다.",또 다른 건으로는 지난 2022년 9월 22일에 개정된 게임물관리위원회의 등급분류 규정인 제34조 등급분류 결정통보에는 이렇게 적혀있습니다.,"1. 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다.
2. 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야한다.","하지만 여기 게제된 기사를 보면 '명일방주'와 '소녀전선' 게임 관리자 측은 게관위에게 전혀 통지 받은 바가 없다고 합니다.
http://www.newscape.co.kr/news/articleView.html?idxno=89601
해당 사건에 대한 충분한 설명 및 근본적인 해결책을 제시해 주시길 요청합니다.","다음으로 하단의 게임물 관리규정위원회의 규정 15조 1항,3항을 이유로 정보공개를 요청합니다.",,솔직히 해당 행정처리는 불상사라 생각하고 적지않은 불쾌감을 느끼고 있습니다.더불어 이와 관련되어 있는 2022년1월 1일 부터 작일까지의 모든 회의록의 공개와 공지를 강력히 요구하는 바입니다.,"회의록이 비공개, 정보의 부존재등으로 처리가 되는 경우, 처리된 이유가 무엇인지 알기 쉽게 풀어서 설명해주기 바랍니다.",,,"헌법 7조1항, 2항이 무엇입니까?",위의 대한 답변을 못 할 경우 왜 못하는 것인지에 대한 사유를 자세하게 적어주시면 감사하겠습니다.,추신.민원 신청에 민간 법조인의 도움을 받았습니다.
