Field1
게임 '블루아카이브'의 리소스 수정ㆍ연령등급 상향 권고 관련 심의과정에 관해 조속한 정보공개를 청구 합니다.
게임 〈블루아카이브〉에 대한 게임물관리위원회의 졸속 행정에 반대합니다.
게임물관리위원회가 규정대로 행정처리를 하지 않고 있습니다.
게임물관리위원회가 규정처리를 제대로 하고 있지 않습니다.
게임물관리위원회가 일을 규정대로 처리하지 않습니다.
게임물관리위원회는 제대로 된 게임의 관리를 하고 있는지 의심이 듭니다.
게임물관리위원회의 게임물 이용등급 재조정에 강력하게 반대합니다.
게임물관리위원회의 게임물이용등급 상향조치를 강력 반대합니다.
게임물관리위원회의 비정상적 등급 분류에 관한 건
게임물관리위원회의 이번 게임물이용등급 재조정 조치를 강력 반대합니다.
게임물관리위원회의 이용등급 재조정은 심각하게 잘못되었다고 생각하며 강력반대합니다.
게임물관리위원회의 잘못된 게임물 등급 분류에 관한 청원
게임물관리위원회의 졸속행정 시정에 관한 청원
게임물관리위원회의 편파적 게임물 등급 분류 행태를 제보합니다.
게임물이용등급 재조정에 대한 반대 민원건
"국내 게임 ""블루아카이브""에 대한 게임물관리위원회의 결과 처리에 대한 정보공개를 촉구합니다."
근래 모바일게임 블루아카이브의 연령등급 상향 행정에 관한 이의제기
현재 일부 게임물의 심의등급 상향에 강력반대합니다.
현재 게임물관리위원회의 행정처리가 제대로 되고 있질 않습니다.
현재 게임물관리위원회의 행정처리가 비상식적이라고 생각합니다.
현재 게임물관리위원회는 제대로 일을 하고 있는지 의심스럽습니다
핸드폰 게임 「블루아카이브」의 게임물이용 연령등급 재심의와 등급변경에 관해
핸드폰 게임 `블루아카이브`에 관한 이용자 연령등급에 관한 재심의 및 등급변경에 이의 송달합니다.
한국 게임물등급조정위원회의 게임물 이용 등급판정에 대한 민원
최근 대한민국 게임물관리위원회의 졸속 행정(등급상향)에 대한 민원
최근 게임물관리위원회의 행정처리에 대한 민원
스마트폰 게임 블루아카이브의 게임물이용등급 재조정을 반대합니다.
"손바닥 뒤집듯이 바뀌는 게임물의 이용등급변경, 이대로 괜찮은겁니까?"
모바일게임 '블루아카이브'의 유저로서 관련 연령등급 상향 변경의 행정에 불복을 표명합니다.
대한민국 게임물관리위원회의 게임물이용등급판정 관련 행정운영에 대한 고충 민원











